,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,515,-0.08,-0.11,0.0,0.02,-0.15,0.0,0.01,-0.0,0.0,0.0,0.002,15.027,-15.027
2,515,-0.08,-0.11,0.0,0.02,-0.15,0.0,0.01,-0.0,0.0,0.0,0.002,15.027,-15.027
3,525,-0.04,-0.11,0.0,0.01,-0.16,-0.001,0.01,-0.0,0.0,0.0,0.002,28.678,-28.678
4,535,-0.07,-0.08,0.001,0.03,-0.15,0.0,0.01,-0.0,0.0,0.0,0.003,35.251,-35.251
5,545,-0.05,-0.1,-0.001,0.02,-0.13,0.0,0.01,-0.0,0.0,0.0,0.002,35.251,-35.251
6,555,-0.05,-0.1,-0.001,0.02,-0.13,-0.003,0.01,-0.0,0.0,0.0,0.003,35.251,-35.251
7,566,-0.04,-0.07,-0.001,0.02,-0.13,-0.002,0.01,0.0,0.0,0.0,0.003,33.071,-33.071
8,576,-0.06,-0.07,-0.001,0.03,-0.11,0.0,0.01,0.0,0.0,0.0,0.002,39.644,-39.644
9,586,-0.04,-0.07,-0.001,0.03,-0.14,-0.001,-0.0,0.0,0.0,0.0,0.002,-21.08,21.08
10,596,-0.05,-0.07,0.001,0.02,-0.13,-0.002,-0.0,0.0,0.0,0.0,0.002,33.071,-33.071
11,606,-0.07,-0.08,0.0,0.01,-0.15,-0.002,-0.0,0.0,0.0,0.0,-0.0,33.071,-33.071
12,616,-0.07,-0.08,0.0,0.01,-0.15,0.0,-0.0,0.0,0.0,0.0,0.001,8.454,-8.454
13,626,-0.04,-0.09,0.0,0.03,-0.16,0.0,-0.0,0.0,0.0,0.0,0.001,8.454,-8.454
14,636,-0.05,-0.08,0.002,0.01,-0.14,-0.002,-0.0,0.0,0.0,0.0,0.002,10.634,-10.634
15,646,-0.06,-0.09,0.0,0.01,-0.13,0.002,-0.0,0.0,0.0,0.0,0.002,26.482,-26.482
16,656,-0.07,-0.08,-0.001,0.02,-0.11,0.001,-0.0,0.0,0.0,0.0,0.002,46.723,-46.723
17,666,-0.04,-0.09,-0.001,0.03,-0.11,0.001,-0.0,0.0,0.0,0.0,0.002,10.634,-10.634
18,676,-0.04,-0.09,-0.001,0.03,-0.11,0.001,-0.0,0.0,0.0,0.0,0.002,-7.411,7.411
19,686,-0.05,-0.06,-0.002,0.03,-0.13,0.001,-0.0,0.0,0.0,0.0,0.003,-9.591,9.591
20,696,-0.05,-0.05,-0.001,0.02,-0.13,-0.003,-0.01,0.0,-0.0,0.0,0.004,-9.591,9.591
21,706,-0.05,-0.06,-0.001,0.02,-0.12,0.001,-0.01,0.0,-0.0,0.0,0.002,-83.983,83.983
